id;nombre_cancion;popularity;artista;pais;genero;Rango_lustros
377;San Pedro;0;Revolver, Mick Glossp;ME;NULL;2000-2004
378;How You Remind Me;80;Nickelback;ME;rock;2000-2004
379;This Is Me;0;Dream;ME;pop;2000-2004
380;Toxicity;80;System Of A Down;ME;metal;2000-2004
381;Here She Comes Again;0;Sasha;ME;pop;2000-2004
382;Duvet;79;bôa;ME;anime;2000-2004
383;Turn It into Something Special;0;Sasha;ME;pop;2000-2004
384;Clocks;79;Coldplay;ME;rock;2000-2004
385;Beautiful Inside;0;Louise;ME;pop;2000-2004
386;Till I Collapse;79;Eminem, Nate Dogg;ME;NULL;2000-2004
387;American Life (Director's Cut) - 4K Remaster;0;Madonna;ME;NULL;2000-2004
388;Faint;79;Linkin Park;ME;rock;2000-2004
389;Wierz? w siebie;0;Harlem;ME;NULL;2000-2004
390;Chop Suey!;79;System Of A Down;ME;alternative metal;2000-2004
391;Eso de saber;0;Revolver;ME;LO MAS;2000-2004
392;Seven Nation Army;78;The White Stripes;ME;rock;2000-2004
393;Take Me Home;0;Terror Squad, remy, Fat Joe, Dre, Armageddon;ME;NULL;2000-2004
394;One Step Closer;78;Linkin Park;ME;Nu Metal;2000-2004
395;Love Is Alive - Live;;;;;2000-2004
396;This Love;78;Maroon 5;ME;pop;2000-2004
397;Ni na no;0;Javier Álvarez;ME;NULL;2000-2004
398;She Will Be Loved - Radio Mix;78;Maroon 5;ME;pop;2000-2004
399;Call Me;0;Blondie;ME;80s;2000-2004
400;Yellow;86;Coldplay;AL;rock;2000-2004
401;Angel;28;Shaggy, Rayvon;AL;NULL;2000-2004
402;The Scientist;83;Coldplay;AL;Coldplay;2000-2004
403;Cabelo Raspadinho;2;Chiclete Com Banana;AL;brasil;2000-2004
404;Without Me;83;Eminem;AL;rap;2000-2004
405;Devolva-Me;1;Adriana Calcanhotto;AL;mpb;2000-2004
406;Numb;83;Linkin Park;AL;rock;2000-2004
407;Dar A Volta No Brasil - Ao Vivo;0;Chiclete Com Banana;AL;NULL;2000-2004
408;Mr. Brightside;82;The Killers;AL;rock;2000-2004
409;Csak Játék;0;Zorán;AL;Ballad;2000-2004
410;In the End;82;Linkin Park;AL;rock;2000-2004
411;Tarantula;0;Faithless;AL;electronic;2000-2004
412;Sparks;82;Coldplay;AL;rock;2000-2004
413;Guilty Conscience - Director's Cut;0;Eminem, Dr. Dre;AL;NULL;2000-2004
414;Mockingbird;81;Eminem;AL;rap;2000-2004
415;Respiration;0;Black Star, Common;AL;NULL;2000-2004
416;Unwritten;81;Natasha Bedingfield;AL;pop;2000-2004
417;Smash Sumthin' - Alternate Version;0;Redman;AL;NULL;2000-2004
418;The Real Slim Shady;81;Eminem;AL;rap;2000-2004
419;Kaleidoscope World;0;FrancisM;AL;NULL;2000-2004
420;Can't Stop;80;Red Hot Chili Peppers;AL;rock;2000-2004
421;Esperanzas;0;Pecos;AL;Baladas;2000-2004
422;Bring Me To Life;80;Evanescence;AL;rock;2000-2004
423;Spaceship;0;Katja;AL;NULL;2000-2004
424;Yeah! (feat. Lil Jon & Ludacris);80;USHER, Lil Jon, Ludacris;AL;NULL;2000-2004
425;Maçã - Ao Vivo;0;Djavan;AL;NULL;2000-2004
426;Somewhere Only We Know;80;Keane;AL;britpop;2000-2004
